"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Toeic_Room/Materials/M_Vegetation.M_Vegetation","49","44","48","1","0.000000","0","48"
"/Game/Toeic_Room/Materials/M_Bark.M_Bark","49","8","8","1","0.000000","0","8"
"/Game/Toeic_Room/Materials/M_Base.M_Base","49","11","12","1","0.000000","0","12"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","22","24","1","10.000479","0","24"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","1787","1809","1","0.000000","0","1809"
"/MeshModelingToolsetExp/Materials/PointSetOverlaidComponentMaterial.PointSetOverlaidComponentMaterial","49","13","14","1","8.133321","0","14"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","49","10","10","1","7.116926","0","10"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","22","22","1","13.492658","0","22"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","58","64","2","19.253952","0","64"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","49","20","20","2","9.969423","0","20"
"/Game/Fab/Megascans/Decals/Dirty_Papers_ud0kfgnh/Medium/ud0kfgnh_tier_2/Textures/T_ud0kfgnh_2K_B-O_Mat.T_ud0kfgnh_2K_B-O_Mat","49","22","24","1","0.000000","0","24"
"","49","512","0","1","0.000000","513","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","49","73","79","1","27.660862","0","79"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","19","19","1","12.753076","0","19"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","19","19","1","11.538082","0","19"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","10","10","1","1.378943","0","10"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","7","7","1","3.527936","0","7"
"/ControlRig/M_Manip.M_Manip","49","13","14","1","6.193622","0","14"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","13","14","1","6.453501","0","14"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","25","25","1","15.916519","0","25"
"/Engine/EditorLandscapeResources/LayerVisMaterial.LayerVisMaterial","49","7","7","1","3.051067","0","7"
"/Engine/EditorLandscapeResources/ColorMaskBrushMaterial.ColorMaskBrushMaterial","49","10","10","1","5.950261","0","10"
"/Engine/EditorLandscapeResources/LandscapeDirtyMaterial.LandscapeDirtyMaterial","49","10","10","1","5.326920","0","10"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","21","21","1","7.781239","0","21"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","16","16","1","7.339513","0","16"
"/MetaHumanCharacter/Materials/M_GrayTexture_Body.M_GrayTexture_Body","49","54","60","1","21.322552","0","60"
"/MetaHumanCharacter/Materials/M_BakedGrooms.M_BakedGrooms","49","16","16","2","10.801780","0","16"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","66","66","1","17.386431","0","66"
"/CameraCalibrationCore/Materials/M_DistortionPostProcess.M_DistortionPostProcess","49","10","10","1","1.271935","0","10"
"/MetaHumanCharacter/Controls/M_RigControlActor_Black.M_RigControlActor_Black","49","13","13","1","6.326759","0","13"
"/Game/Toeic_Room/Materials/M_Base_2.M_Base_2","49","11","12","1","2.449880","0","12"
"/Game/Toeic_Room/Materials/M_Glass.M_Glass","49","15","15","1","0.000000","0","15"
"/Game/Toeic_Room/Material_Instances/M_Cubes.M_Cubes","49","8","8","1","0.000000","0","8"
"/Game/Toeic_Room/Materials/Lights/M_FlickeringLight.M_FlickeringLight","49","66","66","1","0.000000","0","66"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","78","78","1","0.000000","0","78"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","14","14","1","0.000000","0","14"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","22","24","1","17.002251","0","24"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","49","42","45","1","13.622651","0","45"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","49","73","79","1","25.145477","0","79"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","49","42","45","1","0.000000","0","45"
"/CameraCalibrationCore/Materials/M_DefaultOddSquare.M_DefaultOddSquare","49","11","11","1","3.306852","0","11"
"/CameraCalibrationCore/Materials/M_DefaultEvenSquare.M_DefaultEvenSquare","49","11","11","1","2.992716","0","11"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","10","10","1","4.154665","0","10"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","10","10","1","4.126729","0","10"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","13","14","1","5.581586","0","14"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","10","10","1","4.041732","0","10"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","10","10","1","4.279677","0","10"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","27","27","1","0.000000","0","27"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","49","23","26","1","10.513188","0","26"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","49","23","26","1","11.732471","0","26"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.SculptMaterial","49","11","12","1","6.054443","0","12"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","19","21","1","9.031110","0","21"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","7","7","1","0.000000","0","7"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","12","12","1","5.557252","0","12"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","10","11","1","3.676797","0","11"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","10","10","1","0.908820","0","10"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","10","10","1","0.649669","0","10"
"/CameraCalibrationCore/Materials/M_VertexColors.M_VertexColors","49","8","8","1","3.142103","0","8"
"/CameraCalibrationCore/Materials/M_BrownConradyUDDistortionDisplacementMap.M_BrownConradyUDDistortionDisplacementMap","49","10","10","1","1.299924","0","10"
"/CameraCalibrationCore/Materials/M_SphericalUndistortionDisplacementMap.M_SphericalUndistortionDisplacementMap","49","10","10","1","0.635459","0","10"
"/CameraCalibrationCore/Materials/M_SphericalDistortionDisplacementMap.M_SphericalDistortionDisplacementMap","49","10","10","1","0.600717","0","10"
"/CameraCalibrationCore/Materials/M_BrownConradyUDUndistortionDisplacementMap.M_BrownConradyUDUndistortionDisplacementMap","49","10","10","1","0.586183","0","10"
"/CameraCalibrationCore/Materials/M_BrownConradyDUUndistortionDisplacementMap.M_BrownConradyDUUndistortionDisplacementMap","49","10","10","1","0.556817","0","10"
"/CameraCalibrationCore/Materials/M_BrownConradyDUDistortionDisplacementMap.M_BrownConradyDUDistortionDisplacementMap","49","10","10","1","0.649374","0","10"
"/CameraCalibrationCore/Materials/M_AnamorphicUndistortionDisplacementMap.M_AnamorphicUndistortionDisplacementMap","49","10","10","1","1.286552","0","10"
"/CameraCalibrationCore/Materials/M_AnamorphicDistortionDisplacementMap.M_AnamorphicDistortionDisplacementMap","49","10","10","1","0.565040","0","10"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","10","11","1","4.182686","0","11"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","7","7","1","2.453527","0","7"
